id,nombre,rut,edad,ramos
1,Estudiante1,12345678-9,20,1,5,12,18,26
2,Estudiante2,23456789-0,21,3,8,15,20,27
3,Estudiante3,34567890-1,22,2,7,11,19,29
4,Estudiante4,45678901-2,23,4,9,13,21,28
5,Estudiante5,56789012-3,20,6,10,14,22,30
6,Estudiante6,67890123-4,21,5,8,12,17,25
7,Estudiante7,78901234-5,22,1,9,13,18,26
8,Estudiante8,89012345-6,23,2,7,14,19,27
9,Estudiante9,90123456-7,20,3,10,11,20,28
10,Estudiante10,01234567-8,21,4,6,15,21,29
11,Estudiante11,12345678-0,22,5,9,12,17,30
12,Estudiante12,23456789-1,23,1,7,13,18,26
13,Estudiante13,34567890-2,20,2,10,14,19,27
14,Estudiante14,45678901-3,21,3,8,11,20,28
15,Estudiante15,56789012-4,22,4,9,15,21,29
